Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Continent
91,Lebanon,5.1970000000000001,0.98699999999999999,1.224,0.81499999999999995,0.216,0.16600000000000001,0.027,Asia
92,Indonesia,5.1920000000000002,0.93100000000000005,1.2030000000000001,0.66000000000000003,0.49099999999999999,0.498,0.028000000000000001,Asia
93,China,5.1909999999999998,1.0289999999999999,1.125,0.89300000000000002,0.52100000000000002,0.058000000000000003,0.10000000000000001,Asia
94,Vietnam,5.1749999999999998,0.74099999999999999,1.3460000000000001,0.85099999999999998,0.54300000000000004,0.14699999999999999,0.072999999999999995,Asia
95,Bhutan,5.0819999999999999,0.81299999999999994,1.321,0.60399999999999998,0.45700000000000002,0.37,0.16700000000000001,Asia
96,Cameroon,5.0439999999999996,0.54900000000000004,0.91000000000000003,0.33100000000000002,0.38100000000000001,0.187,0.036999999999999998,Africa
97,Bulgaria,5.0110000000000001,1.0920000000000001,1.5129999999999999,0.81499999999999995,0.311,0.081000000000000003,0.0040000000000000001,Eu
98,Ghana,4.9960000000000004,0.61099999999999999,0.86799999999999999,0.48599999999999999,0.38100000000000001,0.245,0.040000000000000001,Africa
99,Ivory Coast,4.944,0.56899999999999995,0.80800000000000005,0.23200000000000001,0.35199999999999998,0.154,0.089999999999999997,Africa
100,Nepal,4.9130000000000003,0.44600000000000001,1.226,0.67700000000000005,0.439,0.28499999999999998,0.088999999999999996,Asia
101,Jordan,4.9059999999999997,0.83699999999999997,1.2250000000000001,0.81499999999999995,0.38300000000000001,0.11,0.13,Asia
102,Benin,4.883,0.39300000000000002,0.437,0.39700000000000002,0.34899999999999998,0.17499999999999999,0.082000000000000003,Africa
103,Congo (Brazzaville),4.8120000000000003,0.67300000000000004,0.79900000000000004,0.50800000000000001,0.372,0.105,0.092999999999999999,Africa
104,Gabon,4.7990000000000004,1.0569999999999999,1.1830000000000001,0.57099999999999995,0.29499999999999998,0.042999999999999997,0.055,Africa
105,Laos,4.7960000000000003,0.76400000000000001,1.03,0.55100000000000005,0.54700000000000004,0.26600000000000001,0.16400000000000001,Asia
106,South Africa,4.7220000000000004,0.95999999999999996,1.351,0.46899999999999997,0.38900000000000001,0.13,0.055,Africa
107,Albania,4.7190000000000003,0.94699999999999995,0.84799999999999998,0.874,0.38300000000000001,0.17799999999999999,0.027,Eu
108,Venezuela,4.7069999999999999,0.95999999999999996,1.427,0.80500000000000005,0.154,0.064000000000000001,0.047,Sa
109,Cambodia,4.7000000000000002,0.57399999999999995,1.1220000000000001,0.63700000000000001,0.60899999999999999,0.23200000000000001,0.062,Asia
110,Palestinian Territories,4.6959999999999997,0.65700000000000003,1.2470000000000001,0.67200000000000004,0.22500000000000001,0.10299999999999999,0.066000000000000003,Asia
111,Senegal,4.681,0.45000000000000001,1.1339999999999999,0.57099999999999995,0.29199999999999998,0.153,0.071999999999999995,Africa
112,Somalia,4.6680000000000001,0,0.69799999999999995,0.26800000000000002,0.55900000000000005,0.24299999999999999,0.27000000000000002,Africa
113,Namibia,4.6390000000000002,0.879,1.3129999999999999,0.47699999999999998,0.40100000000000002,0.070000000000000007,0.056000000000000001,Africa
114,Niger,4.6280000000000001,0.13800000000000001,0.77400000000000002,0.36599999999999999,0.318,0.188,0.10199999999999999,Africa
115,Burkina Faso,4.5869999999999997,0.33100000000000002,1.056,0.38,0.255,0.17699999999999999,0.113,Africa
